=== SESSION MONITOR START 2026-03-18 02:03:09 KST ===
[2026-03-18 08:12:25 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5943 ADA=0.2887
[2026-03-18 08:17:10 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5943 ADA=0.2887
[2026-03-18 08:21:56 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5943 ADA=0.2887
[2026-03-18 08:26:42 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5943 ADA=0.2887
[2026-03-18 08:31:28 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5943 ADA=0.2887
[2026-03-18 08:36:13 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5943 ADA=0.2887
[2026-03-18 08:40:58 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5943 ADA=0.2887
[2026-03-18 08:45:45 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5943 ADA=0.2887
[2026-03-18 08:50:30 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5943 ADA=0.2887
[2026-03-18 08:55:15 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5943 ADA=0.2887
[2026-03-18 09:00:01 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5943 ADA=0.2887
[2026-03-18 09:04:46 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5943 ADA=0.2887
[2026-03-18 09:09:32 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6219 ADA=0.2892
[2026-03-18 09:14:16 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6219 ADA=0.2892
[2026-03-18 09:19:02 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6219 ADA=0.2892
[2026-03-18 09:23:47 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6219 ADA=0.2892
[2026-03-18 09:28:33 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6219 ADA=0.2892
[2026-03-18 09:33:17 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6219 ADA=0.2892
[2026-03-18 09:38:02 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6219 ADA=0.2892
[2026-03-18 09:42:48 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6219 ADA=0.2892
[2026-03-18 09:47:33 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6219 ADA=0.2892
[2026-03-18 09:52:18 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6219 ADA=0.2892
[2026-03-18 09:57:02 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6219 ADA=0.2892
[2026-03-18 10:01:47 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6219 ADA=0.2892
[2026-03-18 10:06:32 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6219 ADA=0.2892
[2026-03-18 10:11:17 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6219 ADA=0.2892
[2026-03-18 10:16:00 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6219 ADA=0.2892
[2026-03-18 10:20:45 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6219 ADA=0.2892
[2026-03-18 10:25:30 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6219 ADA=0.2892
[2026-03-18 10:30:15 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6219 ADA=0.2892
[2026-03-18 10:34:58 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6219 ADA=0.2892
[2026-03-18 10:39:42 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6219 ADA=0.2892
[2026-03-18 10:44:27 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6219 ADA=0.2892
[2026-03-18 10:49:12 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6219 ADA=0.2892
[2026-03-18 10:53:54 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6219 ADA=0.2892
[2026-03-18 10:58:39 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6219 ADA=0.2892
[2026-03-18 11:03:23 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6219 ADA=0.2892
[2026-03-18 11:08:08 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6219 ADA=0.2892
[2026-03-18 11:12:50 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6219 ADA=0.2892
[2026-03-18 11:17:35 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6219 ADA=0.2892
[2026-03-18 11:22:19 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6219 ADA=0.2892
[2026-03-18 11:27:03 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6219 ADA=0.2892
[2026-03-18 11:31:48 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6219 ADA=0.2892
[2026-03-18 11:36:31 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6219 ADA=0.2892
[2026-03-18 11:41:15 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6219 ADA=0.2892
[2026-03-18 11:45:58 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6219 ADA=0.2892
[2026-03-18 11:50:42 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6219 ADA=0.2892
[2026-03-18 11:55:26 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6219 ADA=0.2892
[2026-03-18 12:00:09 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6219 ADA=0.2892
[2026-03-18 12:04:52 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6219 ADA=0.2892
[2026-03-18 12:09:36 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6219 ADA=0.2892
[2026-03-18 12:14:20 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6219 ADA=0.2892
[2026-03-18 12:19:04 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6219 ADA=0.2892
[2026-03-18 12:23:46 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6219 ADA=0.2892
[2026-03-18 12:28:30 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6219 ADA=0.2892
[2026-03-18 12:33:14 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6219 ADA=0.2892
[2026-03-18 12:37:57 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6219 ADA=0.2892
[2026-03-18 12:42:40 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6219 ADA=0.2892
[2026-03-18 12:47:23 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6219 ADA=0.2892
[2026-03-18 12:52:07 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6219 ADA=0.2892
[2026-03-18 12:56:51 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6219 ADA=0.2892
[2026-03-18 13:01:35 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6219 ADA=0.2892
[2026-03-18 13:06:17 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6370 ADA=0.2918
[2026-03-18 13:11:00 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6370 ADA=0.2918
[2026-03-18 13:15:44 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6370 ADA=0.2918
[2026-03-18 13:20:27 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6370 ADA=0.2918
[2026-03-18 13:25:09 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6370 ADA=0.2918
[2026-03-18 13:29:53 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6370 ADA=0.2918
[2026-03-18 13:34:36 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6370 ADA=0.2918
[2026-03-18 13:39:20 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6370 ADA=0.2918
[2026-03-18 13:44:01 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6370 ADA=0.2918
[2026-03-18 13:48:45 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6370 ADA=0.2918
[2026-03-18 13:53:28 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6370 ADA=0.2918
[2026-03-18 13:58:11 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6370 ADA=0.2918
[2026-03-18 14:02:56 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6370 ADA=0.2918
[2026-03-18 14:07:44 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6370 ADA=0.2918
[2026-03-18 14:12:31 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6370 ADA=0.2918
[2026-03-18 14:17:19 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6370 ADA=0.2918
[2026-03-18 14:22:04 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6370 ADA=0.2918
[2026-03-18 14:26:50 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6370 ADA=0.2918
[2026-03-18 14:31:35 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6370 ADA=0.2918
[2026-03-18 14:36:19 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6370 ADA=0.2918
[2026-03-18 14:41:02 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6370 ADA=0.2918
[2026-03-18 14:45:46 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6370 ADA=0.2918
[2026-03-18 14:50:30 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6370 ADA=0.2918
[2026-03-18 14:55:13 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6370 ADA=0.2918
[2026-03-18 14:59:55 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6370 ADA=0.2918
[2026-03-18 15:04:38 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6370 ADA=0.2918
[2026-03-18 15:09:22 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6370 ADA=0.2918
[2026-03-18 15:14:05 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6370 ADA=0.2918
[2026-03-18 15:18:48 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6370 ADA=0.2918
[2026-03-18 15:23:29 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6370 ADA=0.2918
[2026-03-18 15:28:12 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6370 ADA=0.2918
[2026-03-18 15:32:55 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6370 ADA=0.2918
[2026-03-18 15:37:37 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6370 ADA=0.2918
[2026-03-18 15:42:18 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6370 ADA=0.2918
[2026-03-18 15:47:01 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.6370 ADA=0.2918
[2026-03-18 15:51:44 KST] [WARN] demo_trading 프로세스 없음 — 종료됨?
[2026-03-18 15:52:40 KST] [WARN] demo_trading 프로세스 없음 — 종료됨?
