order_link_id,symbol,side,order_type,purpose,qty,price,stop_trigger,status,exchange_order_id,parent_id,created_at,updated_at,metadata
v43-sol-0323-1956-s-0001,SOL,SELL,LIMIT,entry,0.07,91.31,,FILLED,204946044966,,2026-03-23T19:56:38.145729+00:00,2026-03-23T19:56:38.826314+00:00,"{""p_trade"": 0.7493751513701867, ""mode"": ""live""}"
v43-sol-0323-2010-b-0001,SOL,BUY,LIMIT,entry,0.07,91.52,,FILLED,204948161550,,2026-03-23T20:10:38.626430+00:00,2026-03-23T20:10:43.856943+00:00,"{""p_trade"": 0.7991074062766892, ""mode"": ""live""}"
v43-sol-0323-2111-s-0001,SOL,SELL,LIMIT,entry,0.07,91.61,,CANCELLED,,,2026-03-23T21:11:38.955906+00:00,2026-03-23T21:11:59.851087+00:00,"{""p_trade"": 0.8083817702764309, ""mode"": ""live""}"
v43-sol-0323-2112-s-0001,SOL,SELL,LIMIT,entry,0.07,91.61,,FILLED,204954674752,,2026-03-23T21:12:38.848444+00:00,2026-03-23T21:12:50.300096+00:00,"{""p_trade"": 0.80842084820826, ""mode"": ""live""}"
v43-sol-0323-2135-s-0001,SOL,SELL,LIMIT,entry,0.07,91.89,,FILLED,204957034173,,2026-03-23T21:35:38.467101+00:00,2026-03-23T21:35:39.127802+00:00,"{""p_trade"": 0.838393940931691, ""mode"": ""live""}"
v43-sol-0323-2204-s-0001,SOL,SELL,LIMIT,entry,0.07,91.27,,FILLED,204960651686,,2026-03-23T22:04:39.471454+00:00,2026-03-23T22:04:40.464738+00:00,"{""p_trade"": 0.8063862053479935, ""mode"": ""live""}"
v43-sol-0323-2218-s-0001,SOL,SELL,LIMIT,entry,0.07,91.62,,CANCELLED,,,2026-03-23T22:18:39.480153+00:00,2026-03-23T22:19:00.245143+00:00,"{""p_trade"": 0.7577277556950884, ""mode"": ""live""}"
v43-sol-0323-2219-s-0001,SOL,SELL,LIMIT,entry,0.07,91.72,,FILLED,204963135561,,2026-03-23T22:19:39.177223+00:00,2026-03-23T22:19:44.531896+00:00,"{""p_trade"": 0.722632196434073, ""mode"": ""live""}"
v43-sol-0323-2310-s-0001,SOL,SELL,LIMIT,entry,0.07,91.14,,FILLED,204970879514,,2026-03-23T23:10:39.301936+00:00,2026-03-23T23:10:46.679269+00:00,"{""p_trade"": 0.7798979014127231, ""mode"": ""live""}"
v43-sol-0323-2327-s-0001,SOL,SELL,LIMIT,entry,0.07,91.36,,FILLED,204973735448,,2026-03-23T23:27:39.326991+00:00,2026-03-23T23:27:44.379610+00:00,"{""p_trade"": 0.8100144906920206, ""mode"": ""live""}"
v43-sol-0324-0001-s-0001,SOL,SELL,LIMIT,entry,0.07,91.62,,CANCELLED,,,2026-03-24T00:01:40.381108+00:00,2026-03-24T00:02:01.242207+00:00,"{""p_trade"": 0.486226872387059, ""mode"": ""live""}"
v43-sol-0324-0002-s-0001,SOL,SELL,LIMIT,entry,0.07,91.55,,CANCELLED,,,2026-03-24T00:02:39.760621+00:00,2026-03-24T00:03:01.148553+00:00,"{""p_trade"": 0.504663420609148, ""mode"": ""live""}"
v43-sol-0324-0006-s-0001,SOL,SELL,LIMIT,entry,0.07,91.45,,CANCELLED,,,2026-03-24T00:06:40.114341+00:00,2026-03-24T00:07:00.886924+00:00,"{""p_trade"": 0.45524629284523177, ""mode"": ""live""}"
v43-sol-0324-0008-s-0001,SOL,SELL,LIMIT,entry,0.07,91.43,,CANCELLED,,,2026-03-24T00:08:40.167795+00:00,2026-03-24T00:09:00.940960+00:00,"{""p_trade"": 0.557643639111212, ""mode"": ""live""}"
v43-sol-0324-0009-s-0001,SOL,SELL,LIMIT,entry,0.07,91.34,,CANCELLED,,,2026-03-24T00:09:40.258159+00:00,2026-03-24T00:10:01.014528+00:00,"{""p_trade"": 0.5282771557122965, ""mode"": ""live""}"
v43-sol-0324-0010-s-0001,SOL,SELL,LIMIT,entry,0.07,91.38,,FILLED,204980591775,,2026-03-24T00:10:40.372689+00:00,2026-03-24T00:10:41.396080+00:00,"{""p_trade"": 0.5654759503258282, ""mode"": ""live""}"
v43-sol-0324-0039-b-0001,SOL,BUY,LIMIT,entry,0.07,90.6,,CANCELLED,,,2026-03-24T00:39:40.238982+00:00,2026-03-24T00:40:01.778701+00:00,"{""p_trade"": 0.6724606377218949, ""mode"": ""live""}"
v43-sol-0324-0040-b-0001,SOL,BUY,LIMIT,entry,0.07,90.88,,FILLED,204986216504,,2026-03-24T00:40:40.714192+00:00,2026-03-24T00:40:41.836346+00:00,"{""p_trade"": 0.7708473259751961, ""mode"": ""live""}"
v43-sol-0324-0113-b-0001,SOL,BUY,LIMIT,entry,0.07,90.76,,FILLED,204991352211,,2026-03-24T01:13:40.300338+00:00,2026-03-24T01:13:45.386155+00:00,"{""p_trade"": 0.7472100255090202, ""mode"": ""live""}"
v43-dot-0324-0133-b-0001,DOT,BUY,LIMIT,entry,4.6,1.414,,CANCELLED,,,2026-03-24T01:33:31.069118+00:00,2026-03-24T01:33:51.698281+00:00,"{""p_trade"": 0.7006918211343002, ""mode"": ""live""}"
v43-link-0324-0133-s-0001,LINK,SELL,LIMIT,entry,0.72,9.06,,REJECTED,,,2026-03-24T01:33:51.777362+00:00,2026-03-24T01:33:51.954379+00:00,"{""p_trade"": 0.7972955881173052, ""mode"": ""live""}"
v43-dot-0324-0134-b-0001,DOT,BUY,LIMIT,entry,4.6,1.416,,CANCELLED,,,2026-03-24T01:34:29.726824+00:00,2026-03-24T01:34:52.308220+00:00,"{""p_trade"": 0.6598259998742457, ""mode"": ""live""}"
v43-dot-0324-0135-b-0001,DOT,BUY,LIMIT,entry,4.6,1.416,,CANCELLED,,,2026-03-24T01:35:30.237262+00:00,2026-03-24T01:35:51.171299+00:00,"{""p_trade"": 0.6582154869743759, ""mode"": ""live""}"
v43-link-0324-0135-s-0001,LINK,SELL,LIMIT,entry,0.72,9.073,,REJECTED,,,2026-03-24T01:35:51.229724+00:00,2026-03-24T01:35:51.396659+00:00,"{""p_trade"": 0.80643116281533, ""mode"": ""live""}"
v43-dot-0324-0136-b-0001,DOT,BUY,LIMIT,entry,4.6,1.417,,FILLED,31592133866,,2026-03-24T01:36:29.983085+00:00,2026-03-24T01:36:33.398903+00:00,"{""p_trade"": 0.6028164836545061, ""mode"": ""live""}"
v43-link-0324-0136-s-0001,LINK,SELL,LIMIT,entry,0.72,9.071,,REJECTED,,,2026-03-24T01:36:34.363383+00:00,2026-03-24T01:36:34.530515+00:00,"{""p_trade"": 0.7996393470713832, ""mode"": ""live""}"
v43-dot-0324-0137-b-0001,DOT,BUY,LIMIT,entry,4.6,1.414,,CANCELLED,,,2026-03-24T01:37:31.114557+00:00,2026-03-24T01:37:52.546262+00:00,"{""p_trade"": 0.6618078436091261, ""mode"": ""live""}"
v43-link-0324-0137-s-0001,LINK,SELL,LIMIT,entry,0.72,9.06,,REJECTED,,,2026-03-24T01:37:52.596750+00:00,2026-03-24T01:37:52.760667+00:00,"{""p_trade"": 0.8085734701049865, ""mode"": ""live""}"
v43-eth-0324-0140-b-0001,ETH,BUY,LIMIT,entry,0.003,2130.29,,REJECTED,,,2026-03-24T01:40:17.014523+00:00,2026-03-24T01:40:17.236691+00:00,"{""p_trade"": 0.5774928459264598, ""mode"": ""live""}"
v43-sol-0324-0140-b-0001,SOL,BUY,LIMIT,entry,0.07,90.31,,CANCELLED,,,2026-03-24T01:40:17.309229+00:00,2026-03-24T01:40:38.277406+00:00,"{""p_trade"": 0.6911453547074641, ""mode"": ""live""}"
v43-dot-0324-0140-b-0001,DOT,BUY,LIMIT,entry,4.6,1.409,,CANCELLED,,,2026-03-24T01:40:38.347575+00:00,2026-03-24T01:40:59.802646+00:00,"{""p_trade"": 0.6395209745453501, ""mode"": ""live""}"
